Model,ADASYN,BorderlineSMOTE,RandomOverSampling,RandomUnderSampling,SMOTE
GradientBoosting,100.0,100.0,100.0,99.381131979769,100.0
KNN,96.4177481643545,96.4177481643545,96.4177481643545,97.873167284932,96.4177481643545
LogisticRegression,93.91808455621316,93.91808455621316,93.91808455621316,91.55626767211513,93.91808455621316
RandomForest,100.0,100.0,100.0,100.0,100.0
SVM,96.70482368055514,96.70482368055514,96.70482368055514,98.17042272815593,96.70482368055514
